,0
0,59192.4902954
1,58616.2266293
2,57875.6448784
3,57206.546978
4,55247.4495926
5,55172.6874866
6,53251.391367
7,58385.4195633
8,52112.1618309
9,52044.0933266
10,53897.1123257
11,57383.9125195
12,52863.5677853
13,52248.6147442
14,50692.1169319
15,50449.3174114
16,52847.6891079
17,52250.8499184
18,53114.7536793
19,51153.5760918
20,50682.8841724
21,50141.1554375
22,50349.0206757
23,54383.1584015
24,48760.5211296
25,52236.4792385
26,48255.3062
27,51351.6542473
28,48382.6574841
29,49513.0655327
30,47274.0110912
31,48108.7920227
32,49525.2546825
33,49468.8686886
34,46920.4244175
35,46262.7646484
36,45508.8493385
37,45751.3865986
38,47290.9686127
39,50381.0641327
40,45295.4885521
41,48442.8462543
42,49630.0456085
43,44767.1470203
44,49130.1474133
45,42646.9561615
46,43641.4298573
47,43405.306057
48,48129.2244949
49,44901.4720478
50,43084.6807518
51,47379.1834869
52,40631.6754379
53,46878.1110802
54,46628.3556976
55,46377.6585617
56,41846.9306984
57,38184.1477909
58,37528.5980263
59,38163.0656281
60,39349.2040195
61,39181.0831585
62,40727.4779835
63,42735.9518566
64,39801.4065781
65,43874.877409
66,35874.3903198
67,37993.0851021
68,32546.2219276
69,42876.0287323
70,32321.7269936
71,42375.9338417
72,42124.7062244
73,34163.3209505
74,33086.2452188
75,32007.3124924
76,30027.9626169
77,30851.1194744
78,40624.8387852
79,40377.9563465
80,31912.0758691
81,32128.1817713
82,33398.4610596
83,30478.1661847
84,33165.2262726
85,28696.0449972
86,27607.1784058
87,29844.2129889
88,31488.2413962
89,27799.9201336
90,23426.9459643
91,37381.159977
92,33066.0322227
93,30055.3539314
94,33473.6967006
95,32285.5704942
96,27108.7792673
97,35892.3790016
98,28016.604624
99,22722.6206579
100,28023.0370321
101,34912.8541508
102,27699.1823235
103,34425.4252472
104,34178.638176
105,25375.2593794
106,27694.1829839
107,25819.724194
108,24650.9742835
109,26910.4459801
110,25600.5959132
111,27762.5584521
112,20203.9012232
113,29858.701817
114,27406.1636546
115,21530.9882083
116,15067.6128366
117,22464.7943773
118,22230.6196489
119,21990.5448058
120,23036.7627897
121,17383.7574415
122,17878.0142436
123,19018.100343
124,29372.6501026
125,12393.6284389
126,12099.4169321
127,24824.644021
128,19904.1002342
129,27192.916862
130,19442.124004
131,27724.8260536
132,18995.1804378
133,23052.5547185
134,19080.2690544
135,16325.5390682
136,23281.6049376
137,26417.0047798
138,26194.7211781
139,25983.4137716
140,25760.4715385
141,16450.1616278
142,19201.8562474
143,8187.40279412
144,24931.2010565
145,18666.2373104
146,11681.1455705
147,14428.5199203
148,24064.2455378
149,19024.5443501
150,17151.2389102
151,15316.4440312
152,18243.7950292
153,9311.13972449
154,15298.8018684
155,14106.7477903
156,15204.9394541
157,22255.6051769
158,15485.8949623
159,21889.3703976
160,10928.9329456
161,21555.0628462
162,13012.4826202
163,10608.5708322
164,17360.544487
165,13550.9201803
166,14384.5769606
167,18504.8076353
168,13002.2664466
169,12926.5963011
170,19950.6071367
171,19783.5949221
172,19606.6168108
173,18761.1165485
174,19234.8864832
175,19069.9365892
176,12136.4214369
177,13024.2396364
178,13314.5021491
179,14402.6192865
180,13799.3964396
181,17907.5750551
182,12911.5509086
183,10998.6486874
184,16610.1547918
185,12521.84233
186,10019.3971314
187,17296.5911188
188,18292.6150999
189,20070.7706652
190,17570.8117924
191,16853.1772652
192,17569.202467
193,17373.1508694
194,11705.3885231
195,11419.3322353
196,16076.5913286
197,14764.4761047
198,11006.124712
199,15646.7732944
200,15736.9467459
201,13080.6180677
202,15228.795723
203,21728.179141
204,14683.8995657
205,13808.8407955
206,9317.81352544
207,11967.80233
208,13110.4799948
209,19529.1969023
210,13984.429554
211,13703.3554754
212,9739.9827311
213,20495.9931812
214,14755.4907045
215,18881.8874798
216,18503.3801041
217,16219.3867407
218,8990.6194725
219,8033.98312116
220,12498.1489935
221,17336.7860756
222,18914.5210228
223,7888.86920547
224,12002.2949734
225,11844.2502775
226,12947.8412709
227,11514.8183861
228,11378.0644693
229,18912.214323
230,11734.684206
231,11020.3293123
232,11192.0657597
233,8864.48053932
234,10684.251503
235,22368.4909782
236,19380.2538357
237,16702.3125134
238,10176.8431225
239,17937.1419392
240,14324.666842
241,7466.06514788
242,13333.4028563
243,16780.2962503
244,20905.9986315
245,8093.61725235
246,20110.279604
247,6709.19595575
248,10210.4830585
249,12675.6641111
250,12126.7485461
251,12554.4014416
252,14566.767498
253,17950.8420668
254,10110.3681169
255,11194.110199
256,8637.1343801
257,14985.4364834
258,20676.0796747
259,16638.671144
260,6455.15115261
261,11134.6815
262,20541.6771612
263,10825.647696
264,10710.6956682
265,15919.761642
266,20591.5111146
267,13314.752563
268,14175.705894
269,20484.3270621
270,9703.28862166
271,21493.2116709
272,19531.5825782
273,8386.51522183
274,16994.2769251
275,20304.4745169
276,20422.5855908
277,12216.8335161
278,7886.26550055
279,8508.54753637
280,8249.44863415
281,7681.54153919
282,11888.304635
283,13290.7780848
284,13497.8505812
285,8023.9200511
286,16434.2123113
287,15049.9093375
288,9773.8903234
289,20316.2747464
290,17664.8947439
291,8425.46238685
292,13081.237956
293,15265.2907214
294,15610.7532821
295,8732.55247569
296,17554.3907127
297,23139.5605049
298,15164.1714416
299,18226.9099197
