,0
0,27745.1944194
1,27490.614394
2,26990.7370085
3,27048.5587312
4,27206.6030815
5,26282.5845445
6,26323.3982822
7,26467.2314274
8,26065.8082017
9,25687.0367723
10,25796.8907931
11,25638.8154169
12,24875.3406921
13,25276.0448185
14,24377.1998629
15,24043.0928686
16,24221.6937076
17,24426.0849796
18,23694.0110738
19,23819.1439445
20,23307.0042987
21,23459.7412457
22,23148.1451843
23,23372.6745587
24,22867.2040555
25,22889.5831055
26,22496.9906706
27,22687.0302136
28,22269.5636527
29,21555.9374101
30,21889.4740069
31,21480.4486319
32,21477.3217916
33,21543.9806493
34,20781.1378978
35,20780.3277769
36,20785.0062951
37,20215.0195941
38,20310.8673925
39,20378.4395077
40,20093.4008532
41,19339.6263774
42,19495.6825801
43,19049.4573271
44,19494.0567207
45,19320.565949
46,18840.9872211
47,18004.0203485
48,19091.0931164
49,18571.9608596
50,18147.9245596
51,18529.6152402
52,17067.4373156
53,18219.5847801
54,17968.9216695
55,17161.9767026
56,16977.8567183
57,16531.3578711
58,17028.8931231
59,16391.5444658
60,16689.5860964
61,16145.1654946
62,15971.0064612
63,16657.3041388
64,16180.9971385
65,15603.2510987
66,15500.690904
67,15395.9969577
68,15473.9568071
69,15534.996023
70,14795.3167434
71,15253.293693
72,15382.6109841
73,14202.612376
74,15464.0964725
75,12920.8853159
76,13587.3693056
77,12434.4300938
78,15861.9155257
79,14617.238659
80,13918.53111
81,13931.5250948
82,13559.0278027
83,13467.3911232
84,13815.0531205
85,12488.1748421
86,12179.4587787
87,11284.7253741
88,13027.1050956
89,11407.5531452
90,10656.5000235
91,12326.8331707
92,11939.9267978
93,11792.5828379
94,12575.0341189
95,11410.4658971
96,9781.11949271
97,12180.2010007
98,11074.8520973
99,9946.30546337
100,10759.2481595
101,12726.9821697
102,10526.0889036
103,12649.2524201
104,10543.101685
105,8411.19118188
106,10080.5609088
107,8995.78437929
108,9237.3328493
109,10752.8541867
110,9092.4476258
111,9175.0788299
112,7898.77473581
113,10099.2872538
114,9966.74778924
115,8321.82684661
116,6794.27116998
117,8567.87215316
118,7517.45465013
119,8109.49953142
120,7386.09992632
121,8059.0547457
122,7828.13896472
123,6874.59801954
124,9964.35581768
125,5779.6967405
126,5436.60385769
127,9125.10046012
128,8106.09571894
129,10302.921944
130,7307.16665867
131,8251.49054424
132,7062.74392554
133,8669.7387752
134,7116.04051162
135,5242.13410892
136,6399.39898628
137,9943.11273934
138,8781.32228075
139,9397.08721867
140,9360.98737119
141,5796.05871474
142,6914.3805909
143,4440.86539984
144,7152.86751861
145,7202.42283268
146,4832.60683343
147,5378.21339409
148,6887.88282145
149,6751.40704782
150,5072.5996518
151,6868.39716665
152,8199.26116934
153,5140.04967872
154,4619.74398834
155,4325.92864259
156,6436.45409358
157,7978.8172311
158,6504.6863406
159,7375.74102694
160,4858.36985648
161,6638.47072081
162,4851.70740533
163,4873.71615709
164,7093.28499243
165,5672.99163845
166,5863.00504977
167,7245.62123746
168,5254.53500576
169,4519.31660946
170,7109.0827519
171,6558.06306386
172,6893.17866045
173,6551.40542052
174,5270.50693587
175,6047.43297315
176,4695.91337355
177,4678.220447
178,5019.84959482
179,5137.30334748
180,6564.44545457
181,5964.92993362
182,4312.40640957
183,4820.35327017
184,6547.20099942
185,4497.26756793
186,4067.84510326
187,5246.27470103
188,6419.63143184
189,6732.73243608
190,6639.92524603
191,6044.70592922
192,6088.57739328
193,5602.08709016
194,4902.34189205
195,4140.33540611
196,5433.14417334
197,5599.86396284
198,5799.94758492
199,4969.76891082
200,5904.84811453
201,4416.0912845
202,6165.43350176
203,7099.83533668
204,5533.88284681
205,5729.88624743
206,3712.86300779
207,4928.14100397
208,4960.22774594
209,6342.6478647
210,5253.64796496
211,4686.16576566
212,4510.7616253
213,6164.12254439
214,5162.46945747
215,5706.92648178
216,6043.25643935
217,5484.49971241
218,4024.65040995
219,3369.20625846
220,3920.47011028
221,5521.54427768
222,5682.32420428
223,3537.94543264
224,4779.85518893
225,5189.96226884
226,4495.71434809
227,4065.39585586
228,4816.82643034
229,5665.99829369
230,5386.90111542
231,4634.38229429
232,4765.65995732
233,4143.22996764
234,4457.20913819
235,6524.69598391
236,6290.52760658
237,5141.51907412
238,3961.27693742
239,5903.89807148
240,5075.36131566
241,3781.13945676
242,4811.40170191
243,5605.43536017
244,6012.86799111
245,4021.29744794
246,6511.07479773
247,3926.4973875
248,4393.13069301
249,4297.7476267
250,4985.13646645
251,4760.0535261
252,5383.8936174
253,5670.08266981
254,4467.34477004
255,4446.83854129
256,4358.29275346
257,4749.70414169
258,6185.40702893
259,5435.4875598
260,3618.88911872
261,4979.9329755
262,5708.22984317
263,4740.66660888
264,4464.36297806
265,5602.0359288
266,5802.83210909
267,5395.9979594
268,4389.2759398
269,6016.28438808
270,4029.22629109
271,6137.44640488
272,5810.9378854
273,3743.86008254
274,5261.62375517
275,6346.58977129
276,5943.35998879
277,4504.59126603
278,3959.43492416
279,4152.49973885
280,3814.47531896
281,3739.20942518
282,4418.35960134
283,5073.22696478
284,4493.65479882
285,4051.19421632
286,5208.25026096
287,5669.19769189
288,3758.92768343
289,6161.07302523
290,5039.76508741
291,4147.25384988
292,4783.68891734
293,4578.38728383
294,5356.00261156
295,3515.35092534
296,5127.82782207
297,6554.71241189
298,5592.31551232
299,5376.28991764
